lng,lat,deliverCapacity,loyalty
51.577972,35.736444,,
51.417015,35.775168,1,1
51.417823,35.773397,1,1
51.419433,35.786168,1,1
51.419493,35.766656,1,1
51.420926,35.771056,1,1
51.421751,35.768631,1,1
51.422689,35.771883,1,1
51.423072,35.771889,1,1
51.423168,35.774499,1,1
51.423987,35.775379,1,1
51.425174,35.766281,1,1
51.427813,35.769572,1,1
51.429012,35.76153,1,1
51.430245,35.760251,1,1
51.431846,35.767174,1,1
51.432102,35.788606,1,1
51.433537,35.790714,1,1
51.433712,35.788084,1,1
51.437255,35.757848,1,1
51.437678,35.761473,1,1
51.439515,35.789617,1,1
51.442999,35.766001,1,1
51.444298,35.788061,1,1
51.444332,35.776952,1,1
51.445638,35.793066,1,1
51.446537,35.757803,1,1
51.447418,35.758583,1,1
51.448533,35.778263,1,1
51.449505,35.789245,1,1
51.449968,35.77712,1,1
51.450135,35.758219,1,1
51.45076,35.757628,1,1
51.453165,35.785302,1,1
51.453801,35.791717,1,1
51.454143,35.792018,1,1
51.455169,35.794319,1,1
51.45526,35.788977,1,1
51.455916,35.781226,1,1
51.457215,35.785367,1,1
51.457272,35.775219,1,1
51.459396,35.782627,1,1
51.461585,35.782035,1,1
51.462493,35.766167,1,1
51.462981,35.792415,1,1
51.463261,35.767745,1,1
51.463377,35.791701,1,1
51.465878,35.793794,1,1
51.468112,35.770529,1,1
51.469338,35.786755,1,1
51.469382,35.761095,1,1
51.47061,35.762892,1,1
51.471495,35.768366,1,1
